Concepto,2003 |  T1,2003 |  T2,2003 |  T3,2003 |  T4,2003 |  Anual,2004 |  T1,2004 |  T2,2004 |  T3,2004 |  T4,2004 |  Anual,2005 |  T1,2005 |  T2,2005 |  T3,2005 |  T4,2005 |  Anual,2006 |  T1,2006 |  T2,2006 |  T3,2006 |  T4,2006 |  Anual,2007 |  T1,2007 |  T2,2007 |  T3,2007 |  T4,2007 |  Anual,2008 |  T1,2008 |  T2,2008 |  T3,2008 |  T4,2008 |  Anual,2009 |  T1,2009 |  T2,2009 |  T3,2009 |  T4,2009 |  Anual,2010 |  T1,2010 |  T2,2010 |  T3,2010 |  T4,2010 |  Anual,2011 |  T1,2011 |  T2,2011 |  T3,2011 |  T4,2011 |  Anual,2012 |  T1,2012 |  T2,2012 |  T3,2012 |  T4,2012 |  Anual,2013 |  T1,2013 |  T2,2013 |  T3,2013 |  T4,2013 |  Anual,2014 |  T1,2014 |  T2,2014 |  T3,2014 |  T4,2014 |  Anual,2015 |  T1,2015 |  T2,2015 |  T3,2015 |  T4,2015 |  Anual,2016 |  T1,2016 |  T2,2016 |  T3,2016 |  T4,2016 |  Anual,2017 |  T1,2017 |  T2,2017 |  T3,2017 |  T4,2017 |  Anual,2018 |  T1,2018 |  T2,2018 |  T3,2018 |  T4,2018 |  Anual,2019 |  T1,2019 |  T2,2019 |  T3,2019 |  T4,2019 |  Anual,2020 |  T1,2020 |  T2,2020 |  T3,2020 |  T4,2020 |  Anual,2021 |  T1,2021 |  T2,2021 |  T3,2021 |  T4,2021 |  Anual,2022 |  T1 R,2022 |  T2 R,2022 |  T3 R,2022 |  T4 P,2022 |  Anual
Índice de volumen físico base 2013=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,78.79001518029382,81.03657110873186,79.57009726940402,81.75425648731482,80.28773501143614,81.5073615301414,84.39025638455865,82.51804054878335,85.30560621767516,83.43031617028964,82.06484610412129,86.65061535971583,84.64374400685534,87.95758172378464,85.32919679861928,86.62823619839544,90.2076752384929,88.55377318771525,90.85201621690776,89.06042521037783,88.37870915167576,92.00485799866598,90.6724792320275,93.44719873245005,91.12581127870482,89.36907251529081,94.32894780565618,91.79989736810477,92.79733639790851,92.07381352174006,84.43441959411133,86.07975164315467,87.24576216023767,91.24930196693187,87.25230884110888,88.2663703181122,92.05463147901828,91.52901925885128,95.1575724856476,91.75189838540734,91.49984252061616,94.58887684598739,95.26031627550621,99.04240107122048,95.09785917833256,95.95810608255056,98.47266772799381,97.92593444297756,102.23173424276075,98.64711062407066,96.61544342152096,100.54437301188675,99.35870458112085,103.48147898547143,100.,99.20270201457136,102.77459922746061,102.11502925403259,106.76359886120876,102.71398233931835,102.55757932969316,105.86517761295565,106.17200357212889,109.36014431018242,105.98872620624003,105.14565895383473,108.85300944943278,107.71806965858906,112.54684318673598,108.56589531214813,108.67193304074848,110.57283626462757,109.3354821626058,114.56314846676217,110.785849983686,110.19619345392297,114.17233507881251,112.38022871730075,115.89318563162321,113.16048572041485,111.49260880346685,112.92422420302486,112.20058395265163,115.1242839336709,112.93542522320357,110.61389668156274,92.1328537706344,103.173083300609,110.80133059125777,104.18029108601598,106.86615006911757,110.0851319866345,107.28185817433635,111.51723575176761,108.93759399546398,108.64703933758409,112.49420885914228,111.87167643765679,115.44451194403908,112.11435914460554
Aguascalientes,67.4071876026805,68.72183374611053,72.19775938724588,72.19002777791333,70.12920212848755,69.01656936612441,73.06429916002178,73.15315875947243,77.68065006189502,73.22866933687841,72.74678157442916,74.62621205070805,74.31750271818323,78.33880316620431,75.0073248773812,75.51174140162654,78.76116947296083,80.67358277932041,84.71888997908576,79.91634590824837,84.99784615338065,85.07867928797612,89.06712216054838,88.74360918594166,86.97181419696172,84.04900401144454,88.47586188483754,89.0319926593942,87.82296635189485,87.34495622689278,78.38787656587584,80.12825073463416,85.16596286374981,87.88494999963639,82.89176004097405,84.80014958768719,86.68015293750432,90.42588502197319,90.37891692967108,88.07127611920895,88.22963174149473,90.47598831900703,92.64228626113358,96.5123867487155,91.9650732675877,94.58039889067923,96.26352278037908,96.7691008960175,100.54919774899255,97.0405550790171,96.96245238958157,100.28715970660636,100.6096967529146,102.14069115089744,100.,107.0043561141913,108.9231579900805,109.8897636011485,115.0629967560017,110.22006861535549,110.70826824359914,113.75965266777541,115.32574218462852,118.9960034361732,114.69741663304407,116.07856145832464,124.20395976782889,123.15838671448,126.4835593785543,122.48111682979696,125.77210657848133,123.8381100169475,125.4478014148697,126.5157405887505,125.39343964976226,129.43516852552418,128.0473223300332,129.35945522197403,133.67872069201238,130.13016669238593,127.36419922926474,129.10496040686124,127.98755585732854,130.4157237421768,128.71810980890783,122.57206549041591,100.87288825523157,121.8933294420678,128.72674937705585,118.51625814119275,125.53307083106264,119.3219819869823,115.4732098642036,118.12167644739964,119.61248478241204,118.86220174513139,116.88056115833874,116.97483396705881,116.30806552959451,117.25641560003086
Baja California,87.37669517882073,86.4764423028476,85.54050621601942,83.88749902042217,85.82028567952749,88.07503361427965,94.53841428913049,90.5484803913463,90.30364192722473,90.86639255549528,88.03985582936744,93.5240068856739,93.8200830988449,96.67637243069525,93.01507956114537,91.84731857982497,98.2320866746452,100.33602677906204,101.4170937169532,97.95813143762135,94.09921383471065,99.13429818031116,102.60546940415631,100.77265191518123,99.15290833358985,96.944702085523,101.59244461425216,99.85224590016685,94.76402806199368,98.28835516548394,85.28235226480497,88.25901296071018,87.97575638620077,88.83674983667899,87.58846786209872,86.09827036430258,93.38242009439249,93.87929281296698,94.53675878366653,91.97418551383214,90.03742024190268,94.50781140571212,96.10578563930409,98.01904380594745,94.66751527321658,92.6733734825562,99.44411152879803,99.46666090587927,100.25282908942354,97.95924375166425,95.41215053090762,101.00105682116988,102.10187750479712,101.48491514312536,100.,96.19637912106403,103.5844494431786,103.78384167845707,107.25945257983118,102.70603070563273,103.91406199562314,109.78565289037252,111.64472478356389,114.12485501735583,109.86732367172884,108.4172359599843,115.16877528288263,116.59202388841565,119.99316890050125,115.04280100794595,113.16416057642178,120.28607122457582,119.48821931544715,122.50546708726797,118.86097955092818,116.86338154211143,124.69218550248402,121.2004064696321,123.61642870137383,121.59310055390034,120.27890394628655,125.0698723752911,124.21970738517092,124.78334430550055,123.58795700306229,121.21348053314283,102.70662850725247,122.71982861825745,129.38898091996606,119.00722964465471,122.61514267379457,128.84348271028648,129.87792658474595,133.54141976599348,128.7194929337051,127.57128956459258,132.31978580846936,133.00453054926456,136.21126611875022,132.27671801026918
Baja California Sur,64.91679913997847,64.94197656225467,65.52676920407292,69.0642544868798,66.11244984829646,63.98269520234165,72.32972633551782,70.19092607211421,77.06678355795088,70.89253279198114,75.47474094496756,76.86930792259776,73.28880687048199,78.28598794491353,75.9797109207402,79.38349953604356,81.3541249049403,80.41531096704786,84.52745720984454,81.42009815446907,86.46050126215911,89.88636301466765,96.29867397546839,96.65499805816764,92.32513407761569,95.28100843603731,99.34295144971014,93.71329825004293,90.61637142575101,94.73840739038536,92.01824432595677,95.38112187061645,91.74220419016149,97.59851445556426,94.18502121057473,96.63231886095924,96.42267900380229,93.81952386560255,97.92480674624031,96.1998321191511,100.23737838866143,98.69748656960014,97.76323204172937,102.18954143239918,99.72190960809752,99.40173463961696,105.16521784919945,98.85360337546089,104.64077659686934,102.01533311528668,97.29278573483266,99.21472000723008,98.26320687840567,105.22928737953154,100.,100.20301864953854,101.0153678830725,98.7681107200813,103.48875691779362,100.86881354262147,114.52721501569533,115.82197252207489,109.747996440467,113.77854868778084,113.4689331665045,110.86777766316118,112.81124111872869,116.33008479871427,125.78736308169385,116.4491166655745,117.16950170241837,125.37237911407222,136.28994472075223,137.13678130362024,128.99215171021575,139.6414467623083,153.02057489012105,162.53576765925345,147.0942844933172,150.57301845125,131.26538853801023,140.78993338996497,143.00537415685372,137.68877211915373,138.18736705099568,118.66039192994049,82.82460120464101,105.38607954534378,117.03388982009851,105.97624062500594,103.65907121965836,121.48523906591268,131.5311292756751,134.253717638047,122.7322892998233,122.74199157692574,124.49037074407283,142.3431922157999,139.35273477980925,132.23207232915192
Campeche,143.50239997975797,143.506730969941,147.53360615912518,146.53230050957677,145.26875940460025,144.2780265774705,146.80954335374116,148.51067212020138,148.1609988504825,146.93981022547388,143.37134422500688,147.36589911080645,142.49741323180086,142.86035814178396,144.02375367734953,145.17635180059727,144.0540231424619,140.37160495661843,133.0391867868944,140.660291671643,134.0536764374524,134.84111624970703,129.69436224792724,127.04951914869696,131.4096685209459,124.37868082505643,120.32931966261111,119.03981440912732,117.32222121584341,120.26750902815957,112.78008679377052,107.9191168698328,106.97110221026283,105.43112106692372,108.27535673519748,105.79878050516871,105.12266181890027,104.03249861648978,103.28719482275271,104.56028394082783,102.81806283177568,100.93948449679311,98.22362910966635,101.02473108086554,100.75147687977517,98.37858581092117,97.94743971013672,99.43870958794243,100.74164435547948,99.12659486611996,99.7886342556712,99.76900979063848,100.19078140392652,100.25157454976377,100.,98.14521019409686,95.32663363597771,93.07965096607003,93.97574712879766,95.13181048123556,92.12189008830936,86.46584982372543,88.02979652759555,87.07424056975121,88.42294425234539,86.96578965803312,82.5838679252765,82.78458354102655,80.83714040739403,83.29284538293254,78.47551256364986,75.71662807071876,71.26946348958826,72.91238958820362,74.59349842804012,73.83457733878926,73.72760195746643,73.8402939148547,72.30251029487926,73.42624587649742,71.82030035611771,71.8041156479902,72.10812510088329,71.2290681081515,71.74040230328566,71.96427069714395,65.19837178663076,64.61593272701397,65.57956506831621,66.83953506977622,67.02481639556784,64.96355261452747,62.65419983539074,61.833446300362596,64.11900378646216,62.69610076822411,60.40366056722583,59.48871875722038,59.78067763321133,60.59228943147041
Coahuila de Zaragoza,79.00330075852092,79.7765097242355,81.54908151474193,84.13625084588901,81.11628571084684,81.86375730614954,83.21453951729374,83.61267159831507,85.11657550644001,83.45188598204959,81.20032963151826,85.70320586962384,85.82855143119956,88.30243638630819,85.25863082966247,86.99527207027921,90.96883828203612,89.62754682533568,89.51124520592583,89.2757255958942,86.66958416546223,94.10009256321928,94.58904954647286,96.60125779089603,92.9899960165126,92.21771471123483,95.02929597826292,92.03644758994852,91.07722967423356,92.59017198841995,74.4656928105278,74.79687977994739,79.09540347090247,84.77618814396375,78.28354105133535,85.07319787272684,91.83411583868568,92.91076038669793,94.31824225445553,91.03407908814148,94.25954311156626,96.85573373740067,97.95573964393527,99.78095024765528,97.21299168513937,99.97314883921509,104.2632936099429,103.05968197059683,101.13543905768574,102.10789086936012,95.92392322126634,100.3321210473949,101.03707640384387,102.70687932749487,100.,100.10513764002435,104.06636008664401,104.89572689763556,106.54770969576586,103.90373358001743,100.55197099094961,104.25245452087384,107.41537626314883,106.89660015874183,104.77910048342851,103.36971413824566,105.62763357628168,106.88291568071729,109.41604570835696,106.32407727590041,108.04166180908751,112.57120580786295,112.00752284982813,114.58454492874553,111.80123384888103,110.13818017138992,115.26744476390442,112.97888136647202,113.58941348177336,112.99347994588493,108.84953938176139,114.34791683310921,114.6141177382786,110.98649068090343,112.19951615851316,103.21899384591518,85.15902987528582,102.11496297382854,107.79867316016434,99.57291496379848,102.80675676495454,109.03041482302069,103.1778013940753,106.68489035530008,105.42496583433767,101.31870998885215,106.80599173028745,105.83075908163066,110.1093497388063,106.01620263489416
Colima,69.6376978034398,74.99863611872901,75.62878949014552,76.08630259659938,74.08785650222842,71.52689773953131,72.974865256814,75.29818301623057,76.81889448451767,74.1547101242734,71.10542973649319,74.87071901716689,76.08354780945079,76.58980556671425,74.66237553245628,77.46709843565347,79.80858407342967,79.36153820760696,80.7193417653182,79.33914062050209,88.27974057504679,86.14055901993159,82.0322309128914,82.74806484037494,84.80014883706119,86.58137398912416,86.07716787531066,86.82337887480548,85.96373096278576,86.36141292550651,81.72049368570947,82.43992309129037,83.41275557038826,86.90443086995667,83.6194008043362,87.39035094122067,87.60593756892327,88.49218805248125,95.25133289475515,89.68495236434508,93.73939612374281,97.02674205392114,97.4248383725177,96.59404153343407,96.19625452090393,95.11864344897617,100.92163428439547,98.30621381286596,101.79380511890133,99.03507416628472,97.15576459611711,101.77363419854713,99.03855209056373,102.03204911477208,100.,102.75760497435735,101.62181734639866,100.52311416509166,105.07668636013385,102.49480571149536,102.8514798372117,102.4927242141872,104.25453679377812,109.89590277799756,104.87366090579364,105.56691765320502,105.16763258005157,107.30403246535766,113.26122187579179,107.82495114360151,106.70600853528384,109.17449506488283,111.32942149111871,119.24247339303173,111.61309962107929,110.74858399572196,116.17331166247429,114.73939839819344,117.88023988434966,114.88538348518486,114.56618872402666,118.10697519688344,119.93815822269794,124.72867188799353,119.3349985079004,116.9242261463285,104.45508997623038,107.67251265731966,113.72268805794243,110.69362920945522,108.07654662881046,108.99831257151789,110.1273381669937,116.28044162371714,110.8706597477598,113.43533763908735,111.52336461900427,109.61175570298514,115.87839791091783,112.61221396799866
Chiapas,93.11029665203097,88.47106358299582,83.99066109968184,87.7222527820727,88.32356852919533,86.87814368339622,84.4761945108205,81.91135972640568,86.14967255656408,84.85384261929663,86.75798039358178,87.50311633246268,82.0787009573898,85.78614450171335,85.53148554628689,86.19813164702914,89.1853970460757,88.15039166902606,90.17480482075135,88.42718129572056,92.93878929333962,90.7619707073565,86.58687780533741,89.29026604457084,89.8944759626511,89.4625713400391,92.52883058971027,91.00600462780477,94.77283841259312,91.94256124253681,92.39272839365319,89.79358402317776,90.22141507241821,93.09639318998387,91.37603016980826,93.00899806917886,94.57017778216613,98.69967706902614,99.57369476440988,96.46313692119523,97.32713328962006,99.97302726500331,98.65504915337958,101.93933442134355,99.47363603233663,100.82588644459136,99.71867696335458,100.10856172416216,104.76945475242488,101.35564497113323,96.33271676209641,98.35695494073087,97.72014149089335,107.59018680627939,100.,104.24540118079466,104.37948824964984,103.62464884289079,106.4086483220975,104.6645466488582,101.33969055966865,102.50878162262845,100.91362335395306,105.04344127213344,102.4513842020959,103.96158622098135,102.62744631209004,99.45359500576004,102.6557625469249,102.1745975214391,103.19553799191988,98.04953928177702,95.73357161650122,98.2593223152997,98.80949280137446,99.07060499625226,94.46726499041364,95.0181372887492,92.56189212822711,95.27947485091055,95.39464724335738,90.54792509075371,92.16825484110241,94.49291003098493,93.1509343015496,97.74693653521216,82.12083608420093,89.95357659337154,92.47709646109581,90.57461141847011,99.24735630896502,94.37247429063883,92.29488651693043,95.92954703340745,95.46106603748544,102.17750304996227,99.41447665948431,99.27371596968422,100.89936005712951,100.44126393406509
Chihuahua,73.75199581894573,73.16075896388847,75.55129119902344,80.23096204737499,75.67375200730815,75.18762393072339,79.47538221847807,80.04516688779897,81.6221977948608,79.08259270796532,77.24639402777808,81.22610515286462,82.25765229355173,86.13846403526138,81.71715387736396,83.13434117918571,87.07749325782267,88.77306900250971,93.43178559809878,88.10417225940422,85.85697718380327,91.00452346027996,92.45761709246386,95.7103725252194,91.25737256544163,88.07539837987008,94.31469894961806,92.17586123407277,95.6225443582063,92.5471257304418,81.48869028082827,81.83850583832496,84.29463281337631,89.21414174000358,84.20899266813329,82.25273619418181,88.01123851643675,88.29666598282363,92.314873365746,87.71887851479705,82.6986528286044,89.04060427833033,89.89399445153707,97.3327986269224,89.74151254634855,91.06271163448906,95.42263145777024,96.86927427637328,102.26425130890698,96.4047171693849,93.39593208957467,102.17955181646379,99.40094973481173,105.02356635914983,100.,95.14454923644749,102.48691412916249,102.74656968770348,107.51910168486154,101.97428368454375,101.3708152215551,104.99709881070925,108.33593597363806,114.14639013250307,107.21256003460138,104.21261534587099,111.70202538322913,112.98323734219353,119.74082666499714,112.1596761840727,109.98668643887706,116.21249540010241,115.59740974837867,121.36414865349042,115.79018506021215,109.73422927757555,118.56637225718858,118.4278754733683,126.99755488765041,118.43150797394573,115.05999741091517,120.97533440664246,119.80982169175982,125.27354862020078,120.27967553237957,114.66583241276014,100.93367903485773,115.34955014560464,122.38671116494963,113.33394318954304,112.99188819380288,119.6188634647832,119.47771466683004,123.42210210030618,118.87764210643057,117.47260933659334,125.86468091172105,126.12759064857603,128.57201954380363,124.50922511017353
