ID;Gender;Ever_Married;Age;Graduated;Profession;Work_Experience;Spending_Score;Family_Size
462809;Male;No;22;No;Healthcare;10;Low;40
462643;Female;Yes;38;Yes;Engineer;;Average;30
466315;Female;Yes;67;Yes;Engineer;10;Low;10
461735;Male;Yes;67;Yes;Lawyer;0;High;20
462669;Female;Yes;40;Yes;Entertainment;;High;60
461319;Male;Yes;56;No;Artist;0;Average;20
460156;Male;No;32;Yes;Healthcare;10;Low;30
464347;Female;No;33;Yes;Healthcare;10;Low;30
465015;Female;Yes;61;Yes;Engineer;0;Low;30
465176;Female;Yes;55;Yes;Artist;10;Average;40
464041;Female;No;26;Yes;Engineer;10;Low;30
464942;Male;No;19;No;Healthcare;40;Low;40
461230;Female;No;19;No;Executive;0;Low;
459573;Male;Yes;70;No;Lawyer;;Low;10
460849;Female;Yes;58;No;Doctor;0;Low;10
460563;Female;No;41;No;Healthcare;10;Low;20
466865;Female;No;32;No;Homemaker;90;Low;50
461644;Male;No;31;No;Healthcare;10;Low;60
466772;Male;Yes;58;Yes;Entertainment;10;Average;40
464291;Female;Yes;79;Yes;Artist;0;High;10
466084;Male;Yes;49;Yes;Homemaker;120;Low;10
459675;Female;No;18;No;Healthcare;30;Low;40
465602;Male;Yes;33;Yes;Artist;130;Low;20
459168;Female;No;36;Yes;Artist;50;Low;20
461021;Female;;58;No;Executive;10;Average;30
465083;Male;Yes;56;No;Artist;10;Average;30
467604;Male;No;31;No;Healthcare;90;Low;80
459717;Male;Yes;49;Yes;Artist;10;Average;30
465882;Male;No;35;Yes;Artist;0;Low;10
461996;Female;No;35;No;Artist;50;Low;40
463331;Female;Yes;45;Yes;Artist;0;Low;30
462216;Female;Yes;42;No;Doctor;10;Low;20
462454;Male;No;19;No;Healthcare;10;Low;30
467010;Male;No;26;No;Homemaker;90;Low;
459861;Female;Yes;83;No;Lawyer;10;High;20
467917;Female;No;27;Yes;Healthcare;30;Low;40
465572;Male;No;32;No;Doctor;50;Low;10
460593;Female;Yes;28;No;Healthcare;10;Average;50
465891;Female;Yes;28;Yes;Artist;80;Low;20
467442;Male;Yes;56;Yes;Artist;;Average;20
462044;Female;No;47;Yes;Artist;40;Low;10
465686;Female;No;22;No;Healthcare;0;Low;20
464590;Female;No;27;Yes;Artist;140;Low;30
466006;Female;Yes;49;Yes;Artist;10;Low;20
466152;Male;Yes;40;No;Engineer;80;Low;10
463156;Female;Yes;79;No;Lawyer;;High;20
465729;Male;Yes;41;Yes;Artist;0;Average;40
462384;Female;No;29;Yes;Healthcare;;Low;10
462442;Male;No;19;No;Healthcare;0;Low;40
464191;Female;No;45;Yes;Engineer;10;Low;10
462078;Female;Yes;61;No;Artist;10;Average;20
467873;Female;Yes;36;Yes;Artist;10;Average;20
461270;Male;Yes;40;Yes;Artist;10;Low;10
462960;Female;Yes;57;Yes;Entertainment;0;Average;20
464961;Male;Yes;76;No;Marketing;10;Low;10
462110;Male;Yes;32;Yes;Artist;140;Average;20
465769;Male;No;25;Yes;Healthcare;90;Low;40
462267;Male;No;32;;Doctor;80;Low;20
465269;Female;Yes;45;Yes;Artist;10;Average;30
460881;Male;Yes;72;Yes;Lawyer;10;Low;
461891;Male;Yes;48;Yes;Artist;0;Average;20
466935;Male;Yes;55;Yes;Artist;90;Average;20
464091;Male;Yes;74;Yes;Lawyer;0;High;30
464535;Male;Yes;56;Yes;Lawyer;10;High;20
463108;Male;Yes;59;Yes;Lawyer;70;High;20
461356;Male;No;25;Yes;Entertainment;0;Low;20
464570;Male;Yes;31;Yes;Doctor;0;Average;20
464580;Male;No;27;No;Artist;80;Low;40
465233;Male;Yes;57;Yes;Artist;0;Average;40
467208;Female;Yes;39;Yes;Homemaker;;High;20
459954;Male;Yes;27;Yes;Healthcare;80;Low;20
460219;Female;Yes;51;Yes;Entertainment;80;Average;20
460877;Female;Yes;47;No;Artist;0;Average;50
460191;Female;No;33;No;Healthcare;80;Low;40
463742;Male;Yes;56;Yes;Artist;0;Average;40
463691;Female;No;33;No;Homemaker;0;Low;30
463250;Female;No;36;Yes;Doctor;0;Low;20
463952;Male;Yes;51;No;Artist;40;Low;30
461558;Male;Yes;45;Yes;Engineer;20;Average;20
466567;Female;No;49;Yes;;10;Low;10
465379;Male;No;30;No;Healthcare;0;Low;40
463814;Female;No;26;No;Healthcare;60;Low;30
466938;Male;Yes;63;Yes;Artist;80;Low;10
460671;Male;Yes;35;No;Entertainment;80;Average;40
462204;Female;No;19;No;Marketing;10;Low;30
461671;Male;No;32;No;Healthcare;70;Low;50
459384;Male;Yes;52;Yes;Artist;0;Average;30
459905;Female;Yes;36;Yes;Artist;50;Low;20
464734;Female;No;42;No;Entertainment;70;Low;30
464125;Male;Yes;40;No;Doctor;0;Average;20
467434;Male;No;39;Yes;Entertainment;0;Low;30
460956;Female;Yes;47;Yes;Artist;10;Average;40
465179;Female;Yes;61;Yes;Artist;10;High;20
463338;Male;Yes;32;No;Entertainment;10;Low;20
467066;Male;Yes;55;No;Artist;0;Low;10
463845;Male;Yes;58;Yes;Artist;;Average;10
459976;Female;No;38;Yes;Artist;0;Low;10
461334;Male;Yes;63;Yes;Artist;0;High;20
465108;Male;Yes;58;Yes;Doctor;10;Average;20
462600;Male;Yes;30;No;Engineer;30;Average;30
464144;Male;Yes;60;Yes;Artist;0;Average;40
