,Depth,Temperature,Cast,Cruise,Latitude,Longitude,Day,Month,Year,Ts
0,0.0,29.1,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
1,5.0,29.1,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
2,10.0,29.1,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
3,15.0,29.1,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
4,20.0,29.1,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
5,25.0,28.9,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
6,30.0,28.7,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
7,35.0,28.6,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
8,40.0,28.5,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
9,45.0,28.4,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
10,50.0,28.3,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
11,55.0,28.3,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
12,60.0,28.3,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
13,65.0,28.3,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
14,70.0,28.2,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
15,75.0,28.0,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
16,80.0,27.8,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
17,85.0,27.6,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
18,90.0,27.5,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
19,95.0,27.0,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
20,100.0,27.0,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
21,125.0,26.0,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
22,150.0,23.5,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
23,175.0,22.2,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
24,200.0,20.9,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
25,225.0,20.0,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
26,250.0,18.9,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
27,275.0,17.3,3678873,GB-0           ,19.85,-86.75,15,9,1981,15.18482143
