customer_id,rec,frec,val_mon
CS1112,62.0,4,251
CS1113,36.0,6,393
CS1114,33.0,5,315
CS1115,12.0,3,248
CS1116,204.0,4,286
CS1117,258.0,3,216
CS1118,3.0,6,431
CS1119,12.0,5,339
CS1120,11.0,7,407
CS1121,42.0,5,241
CS1122,43.0,3,264
CS1123,110.0,3,217
CS1124,74.0,2,84
CS1125,26.0,2,121
CS1126,180.0,4,213
CS1127,40.0,8,554
CS1128,76.0,10,772
CS1129,107.0,1,68
CS1130,4.0,8,510
CS1131,21.0,5,338
CS1132,28.0,2,163
CS1133,24.0,6,558
CS1134,110.0,4,301
CS1135,336.0,1,63
CS1136,28.0,5,389
CS1137,56.0,6,371
CS1138,14.0,8,668
CS1139,112.0,4,297
CS1140,29.0,6,361
CS1141,54.0,13,964
CS1142,162.0,3,266
CS1143,213.0,2,152
CS1144,157.0,3,165
CS1145,143.0,6,485
CS1146,8.0,5,384
CS1147,5.0,10,673
CS1148,84.0,7,448
CS1149,16.0,6,426
CS1150,90.0,2,172
CS1151,27.0,7,388
CS1152,7.0,7,489
CS1153,35.0,3,166
CS1154,1.0,8,528
CS1155,127.0,3,186
CS1156,10.0,5,383
CS1157,20.0,8,553
CS1158,103.0,6,377
CS1159,37.0,8,538
CS1160,45.0,10,667
CS1161,5.0,3,251
CS1162,20.0,5,449
CS1163,39.0,7,461
CS1164,18.0,5,362
CS1165,95.0,4,241
CS1166,99.0,6,433
CS1167,120.0,6,425
CS1168,112.0,5,268
CS1169,87.0,7,453
CS1170,4.0,5,361
CS1171,2.0,7,500
CS1172,259.0,2,165
CS1173,50.0,7,476
CS1174,24.0,3,151
CS1175,53.0,3,169
CS1176,30.0,6,486
CS1177,39.0,5,395
CS1178,32.0,7,467
CS1179,47.0,8,495
CS1180,55.0,10,703
CS1181,58.0,5,302
CS1182,103.0,6,439
CS1183,13.0,9,679
CS1184,1.0,7,552
CS1185,12.0,5,340
CS1186,53.0,7,530
CS1187,23.0,5,378
CS1188,5.0,2,127
CS1189,64.0,7,425
CS1190,41.0,3,197
CS1191,67.0,1,56
CS1192,39.0,3,213
CS1193,284.0,2,172
CS1194,10.0,2,136
CS1195,21.0,10,669
CS1196,2.0,10,701
CS1197,162.0,5,361
CS1198,12.0,4,290
CS1199,125.0,4,281
CS1200,171.0,4,362
CS1201,53.0,5,394
CS1202,55.0,6,419
CS1203,49.0,3,278
CS1204,48.0,5,242
CS1205,4.0,4,227
CS1206,158.0,5,335
CS1207,40.0,4,309
CS1208,36.0,8,506
CS1209,3.0,6,452
CS1210,99.0,6,496
CS1211,58.0,5,272
CS1212,159.0,2,161
CS1213,128.0,6,408
CS1214,8.0,5,336
