t,ProductP1,ProductP2,ProductP3,ProductP4,ProductP5,price,temperature
1,197,66,266,113,2,1,18
2,153,44,264,74,1,2,21
3,128,55,317,116,0,1,19
4,133,57,390,70,0,2,17
5,120,47,440,141,1,1,18
6,154,42,436,97,1,1,19
7,163,55,493,69,1,1,21
8,155,45,203,157,0,1,23
9,157,59,308,37,0,2,25
10,151,64,388,65,0,2,25
11,156,62,385,45,1,1,26
12,172,67,482,88,0,2,24
13,167,70,523,134,5,1,24
14,155,69,522,67,0,1,23
15,176,81,238,89,0,1,25
16,158,88,392,101,0,1,20
17,146,96,374,87,0,2,16
18,172,92,440,70,0,1,17
19,143,82,525,124,0,2,19
20,156,90,503,194,0,1,16
21,141,74,609,47,1,2,14
22,155,94,360,132,0,1,12
23,170,93,426,117,4,1,13
24,185,78,479,74,0,2,13
25,156,90,525,11,0,2,12
26,162,111,536,100,0,2,15
27,140,102,586,94,0,2,19
28,126,81,625,70,0,2,18
29,128,112,338,122,0,2,17
30,153,114,434,53,0,1,18
31,136,98,494,58,0,1,17
32,147,126,548,28,2,1,16
33,135,146,636,137,4,2,13
34,140,104,613,106,0,2,13
35,127,113,661,55,2,2,12
36,132,139,427,94,0,1,15
37,153,114,488,34,1,2,17
38,139,111,585,67,0,1,16
39,157,107,508,67,1,1,14
40,134,127,667,57,0,1,16
41,140,101,662,156,1,1,16
42,163,136,676,33,0,2,15
43,163,114,445,61,0,2,15
44,140,130,442,68,0,2,16
45,127,157,549,72,0,1,16
46,129,164,607,70,0,2,15
47,139,191,592,51,0,1,13
48,168,176,621,94,0,1,10
49,178,192,747,66,0,1,10
50,184,158,397,143,0,2,11
51,158,158,572,47,0,1,8
52,145,181,636,41,0,2,10
53,134,139,718,70,0,2,12
54,138,203,792,90,0,2,11
55,128,151,769,152,5,1,12
56,120,132,770,70,0,2,12
57,112,136,530,48,3,1,15
58,107,154,609,35,0,2,18
59,138,184,548,112,0,1,17
60,130,225,594,17,0,1,15
61,125,200,812,64,0,2,13
62,113,192,883,64,0,2,14
63,118,199,930,51,0,1,14
64,122,157,526,159,0,1,13
65,113,173,644,74,0,2,15
66,148,199,571,37,0,2,15
67,145,222,677,70,1,2,13
68,132,213,733,53,0,2,13
69,157,196,732,125,2,2,14
70,161,171,777,18,0,1,13
71,154,228,620,86,0,2,11
72,152,183,601,55,0,1,9
73,161,193,844,58,0,2,4
74,175,198,737,61,0,1,7
75,145,243,901,56,0,2,6
76,127,151,843,144,0,1,5
77,134,159,1097,70,2,2,6
78,150,273,713,84,0,1,13
79,171,172,772,66,0,1,12
80,159,231,756,41,0,2,11
81,151,187,799,13,0,2,9
82,138,238,801,105,0,1,9
83,151,282,764,121,0,1,8
84,128,166,1068,70,0,1,6
85,153,257,709,88,4,2,6
86,130,301,647,36,0,1,2
87,158,202,840,113,0,1,3
88,179,267,865,70,0,2,5
89,158,205,1026,89,0,2,4
90,162,204,999,159,0,1,5
91,160,270,952,70,5,1,5
92,146,204,600,113,0,2,3
93,160,265,843,82,0,1,5
94,175,189,893,77,1,2,4
95,159,283,881,37,0,1,4
96,174,226,975,94,0,1,2
97,158,201,1141,91,0,2,3
98,145,217,881,46,4,1,3
99,161,249,741,70,0,1,7
100,160,331,854,75,0,1,5
